Morning Snack1,Morning Snack2,Lunch1,Lunch2,Lunch3,Lunch4,Lunch5,Afternoon Snack1,Afternoon Snack2,Dinner1,Dinner2,Dinner3,Dinner4,Dinner5
S_milk (200ml),#N/A,curried rice with fruits,S_cheese stick,onion in vinegar marinade,napa cabbage kimchi,#N/A,S_Baram rice cake (with bean paste),#N/A,steamed millet rice,canola soy paste soup,grilled mackerel,stir-fried Yangsongyi mushroom,napa cabbage kimchi
S_yoghurt (100ml),S_kiwi,steamed millet rice,wild chive soy paste soup,braised tofu in marinade sauce,stir-fried soft crab and vegetables,napa cabbage kimchi,S_anchovy rice ball,S_green plum tea,steamed white rice,clam soup,roasted chicken in teriyaki sauce,daikon salad,napa cabbage kimchi
S_broccoli beef porridge,#N/A,steamed millet rice,dried pollack soup,barbequed pork belly and cuttlefish,seasoned salad with dried sea lettuce,napa cabbage kimchi,S_sweet potato mattang (sugar-glazed deep-fried sweet potato wedge),S_milk (100ml),steamed millet rice,tofu soy paste soup,rolled omelette with spinach,stir-fried mini-Saesongyi mushroom,napa cabbage kimchi
S_orange,S_nuts,stir-fried rice with pork and kimchi,seaweed daikon soup,tomato cheese salad,radish kimchi cubes,#N/A,S_muffin,S_milk (150ml),steamed millet rice,bean sprout soup,pan-fried cuttlefish dumpling,seasoned spring cabbage,radish kimchi cubes
S_corn porridge,#N/A,steamed black rice,potato zucchini soup,grilled Atka mackerel,stir-fried Pyogo mushroom,napa cabbage kimchi,S_udon (white wheat noodles) with stir-fried seafood,S_milk (150ml),steamed white rice,mussel seaweed soup,stir-fried pork and paprika,fruit salad,napa cabbage kimchi
S_strawberry,#N/A,steamed sweet millet rice,soft tofu soup (mild flavor),braised chicken and beef in soy sauce with rice cake,stir-fried garlic stem,napa cabbage kimchi,S_seed-filled fried pancake,S_milk (150ml),steamed black rice,mushroom beef soup,stir-fried tuna and potato,pan-fried zucchini,napa cabbage kimchi
S_milk (200ml),#N/A,steamed white rice,steamed pork slices,steamed cabbage wraps + soy red chilli paste,daikon salad,napa cabbage kimchi,S_rainbow rice cake,S_tangerine,steamed sweet millet rice,chive egg  soup,napa cabbage kimchi,black soy tteokbokki (stir-fried rice cake),steamed tofu
S_milk (150ml),#N/A,cream spaghetti,S_boiled egg,beet and daikon in vinegar marinade,napa cabbage kimchi,#N/A,S_stir-fried rice with shrimp,#N/A,steamed white rice,napa cabbage soy paste soup,braised beef and sweet potato,stir-fried zucchini,radish kimchi cubes
S_black sesame porridge,S_tangerine,steamed white rice,green bean sprout soup,stir-fried beef and glass noodles,seasoned salad with lotus root in black sesame sauce,napa cabbage kimchi,S_banana,S_milk (150ml),steamed sweet millet rice,soft tofu stew,deep-fried mandu (dumpling),seasoned shepherd's purse,radish kimchi cubes
S_chicken porridge,#N/A,steamed black rice,zucchini soy paste soup,pan-fried tofu and mushroom in curry,seasoned spring cabbage,radish kimchi cubes,S_steamed bread,S_milk (150ml),steamed white rice,chive shellfish soup,barbequed beef,seasoned salad with green bean sprout and salted seaweed,napa cabbage kimchi
S_dried radish leaves porridge,#N/A,Bibimbap with butter and braised beef in soy sauce,mini-udon (white wheat noodles),fried eggs,radish kimchi cubes,#N/A,S_fried fish paste with seasoning,S_milk (150ml),steamed black rice,spring cabbage soy paste soup,grilled mackerel in curry,braised burdock slices,napa cabbage kimchi
S_sweet potato porridge,#N/A,steamed millet rice,Maesaengyi soup,barbequed duck,fresh kimchi with chive and onion,napa cabbage kimchi,S_banquet noodles,#N/A,steamed white rice,perilla seed daikon soup,braised pork in soy sauce (tenderloin),stir-fried potato,napa cabbage kimchi
S_tuna veggie porridge,#N/A,steamed millet rice,shrimp soup,steamed eggs with spinach,stir-fried seaweed stem,napa cabbage kimchi,S_snow white rice cake (80g),S_milk (100ml),steamed millet rice,tofu kimchi stew,roasted smoked duck,pan-fried Maesaengyi,radish kimchi cubes
S_milk (200ml),#N/A,steamed mixed-grain rice,bokchoy soy paste soup,hamburger steak,seasoned salad with lettuce and cucumber,radish kimchi cubes,S_homestyle strawberry milk,S_toasted bread,steamed millet rice,beef seaweed soup,rolled omelette with shrimp,seasoned spinach,radish kimchi cubes
S_seafood porridge,#N/A,steamed sweet millet rice,spring cabbage soy paste soup,braised eggs in soy sauce,stir-fried perilla leaf,radish kimchi cubes,S_black soy noodles,S_milk (150ml),steamed mixed-grain rice,bean sprout soup,tofu nuggets,seasoned daikon,napa cabbage kimchi
S_lotus root veggie porridge,#N/A,steamed millet rice,potato onion soup,barbequed beef,lettuce salad,napa cabbage kimchi,S_steamed sweet potato (80g),S_milk (150ml),steamed sweet millet rice,chive egg  soup,stir-fried tuna and vegetables,seasoned salad with spring cabbage,radish kimchi cubes
S_spinach porridge,#N/A,Bibimbap with three-color herbs,spring onion miso paste soup,braised fried fish paste bowl,napa cabbage kimchi,#N/A,S_stir-fried rice with shrimp and vegetables,S_milk (150ml),steamed millet rice,mild seafood noodle soup,pan-fried beef,braised potato,napa cabbage kimchi
S_sweet pumpkin porridge,S_orange,steamed mixed-grain rice,kimchi soup,stir-fried pork and vegetables,seasoned salad with bellflower root and cucumber,napa cabbage kimchi,S_half-moon rice cake,S_milk (150ml),steamed white rice,bone soup,parboiled cuttlefish + yuzu sauce,seasoned spinach,napa cabbage kimchi
S_abalone porridge,#N/A,steamed millet rice,perilla seed seaweed soup,deep-fried chicken,stir-fried broccoli and mushroom,napa cabbage kimchi,S_cherry tomato,S_yoghurt (100ml),steamed mixed-grain rice,fried fish paste soup,stir-fried pork,seasoned salad with dried sea lettuce,radish kimchi cubes
S_milk (200ml),#N/A,beef rice bowl with stir-fried vegetables,S_fried mandu (dumpling),daikon salad,napa cabbage kimchi,#N/A,S_banana,S_cheese bread,steamed millet rice,seaweed miso paste soup,stir-fried chicken in soy sauce,pan-fried Saesongyi mushroom,napa cabbage kimchi
S_soft tofu porridge,S_apple,steamed millet rice,perilla seed mushroom soup,grilled cutlassfish,mung bean jelly salad,napa cabbage kimchi,S_blueberry sweet potato salad,S_yoghurt (100ml),steamed white rice,mandu (dumpling) soup (processed mandu),napa cabbage kimchi,braised anchovy,stir-fried burdock and glass noodles
S_nuts porridge,#N/A,steamed rice with black beans,mugwort soy paste soup,stir-fried chicken breast and sweet potato,deep-fried seaweed,radish kimchi cubes,S_Sujebi,S_milk (100ml),steamed millet rice,soy puree stew,braised cutlassfish,mushroom dumpling,napa cabbage kimchi
S_seaweed beef porridge,#N/A,soy paste rice bowl with freshwater snails,winter mushroom egg soup,macaroni and vegetables salad,napa cabbage kimchi,#N/A,S_tomato spaghetti,S_milk (100ml),steamed rice with black beans,mild chicken stew,soft tofu + marinade sauce,seasoned salad with cucumber,napa cabbage kimchi
S_sweet rice porridge with seaweed flakes,S_pear,steamed sweet millet rice,beef soup,braised quail eggs and paprika in ketchup,seasoned salad with wild chive and salted seaweed,napa cabbage kimchi,S_Choongmoo Gimbap (rice roll),S_milk (100ml),steamed white rice,freshwater snail soy paste soup,steamed pork and bean sprout,seasoned bokchoy,napa cabbage kimchi
S_mushroom porridge,S_tangerine,steamed millet rice,pollack daikon soup,stir-fried beef in oyster sauce,seasoned salad with canola in soy paste,radish kimchi cubes,S_milk (100ml),S_bread roll,steamed sweet millet rice,perilla seed vegetables soup,braised quail eggs in soy sauce,pan-fried wild chive,napa cabbage kimchi
S_milk (200ml),#N/A,curried rice with fruits,S_cheese stick,onion in vinegar marinade,napa cabbage kimchi,#N/A,S_Baram rice cake (with bean paste),#N/A,steamed millet rice,canola soy paste soup,grilled mackerel,stir-fried Yangsongyi mushroom,napa cabbage kimchi
S_carrot porridge,#N/A,steamed millet rice,wild chive soy paste soup,braised tofu in marinade sauce,stir-fried soft crab and vegetables,napa cabbage kimchi,S_anchovy rice ball,S_milk (100ml),steamed white rice,clam soup,roasted chicken in teriyaki sauce,daikon salad,napa cabbage kimchi
S_broccoli beef porridge,S_kiwi,steamed millet rice,dried pollack soup,barbequed pork belly and cuttlefish,seasoned salad with dried sea lettuce,radish kimchi cubes,S_cream tteokbokki (stir-fried rice cake),#N/A,steamed millet rice,tofu soy paste soup,rolled omelette with spinach,stir-fried mini-Saesongyi mushroom,napa cabbage kimchi
S_clam porridge,S_orange,stir-fried rice with pork and kimchi,seaweed daikon soup,tomato cheese salad,radish kimchi cubes,#N/A,S_seed-filled fried pancake,S_milk (150ml),steamed millet rice,bean sprout soup,pan-fried cuttlefish dumpling,seasoned spring cabbage,radish kimchi cubes
S_corn porridge,#N/A,steamed black rice,potato zucchini soup,grilled Atka mackerel,stir-fried Pyogo mushroom,napa cabbage kimchi,S_udon (white wheat noodles) with stir-fried seafood,S_milk (150ml),steamed white rice,mussel seaweed soup,stir-fried pork and paprika,fruit salad,napa cabbage kimchi
S_milk potato porridge,#N/A,steamed sweet millet rice,soft tofu soup (mild flavor),braised chicken and beef in soy sauce with rice cake,stir-fried garlic stem,napa cabbage kimchi,S_strawberry,S_muffin,steamed black rice,mushroom beef soup,stir-fried tuna and potato,pan-fried zucchini,napa cabbage kimchi
S_milk (200ml),#N/A,steamed white rice,steamed pork slices,steamed cabbage wraps + soy red chilli paste,daikon salad,napa cabbage kimchi,S_rainbow rice cake,S_tangerine,steamed sweet millet rice,chive egg  soup,napa cabbage kimchi,black soy tteokbokki (stir-fried rice cake),steamed tofu
S_white grape,#N/A,steamed mixed-grain rice,salted seaweed soup,roasted smoked duck,stir-fried paprika and onion,napa cabbage kimchi,S_stir-fried rice with jukkumi and water celery,S_milk (150ml),Japanese beef rice bowl (gyudon),shepherd's purse soy paste soup,deep-fried potato,radish kimchi cubes,#N/A
S_mushroom porridge,#N/A,steamed sweet millet rice,cuttlefish soup,tofu steak,seasoned salad with bellflower root and cucumber,napa cabbage kimchi,S_boiled egg,S_milk (150ml),steamed mixed-grain rice,dried mussel soup,barbequed duck,grilled salted seaweed + wild chive marinade sauce,napa cabbage kimchi
S_strawberry,#N/A,stir-fried rice with vegetables,potato seaweed  soup,stir-fried beef and glass noodles,napa cabbage kimchi,#N/A,S_bread roll,S_milk (150ml),steamed rice with black beans,shrimp tofu soup,stir-fried cuttlefish and vegetables,seasoned cucumber,napa cabbage kimchi
S_seaweed porridge,#N/A,steamed millet rice,beef daikon soup,roasted shrimp with butter,seasoned salad with bean sprout,napa cabbage kimchi,S_acorn jelly soup,S_cheese bread,steamed white rice,clam soup,steamed beef with rice cake,seasoned spring cabbage,radish kimchi cubes
S_apple,S_pear,steamed millet rice,mugwort soy paste soup,steamed pork and sweet pumpkin,stir-fried oyster mushroom,napa cabbage kimchi,S_rainbow rice cake,S_milk (150ml),steamed millet rice,bean sprout soup,stir-fried shrimp in oyster sauce,napa cabbage kimchi,daikon salad
S_milk (150ml),#N/A,steamed white rice (add),noodle soup,stir-fried baby anchovy,napa cabbage kimchi,#N/A,S_cherry tomato,#N/A,steamed millet rice,oyster mushroom soup,stir-fried pork in oyster sauce,pan-fried mugwort,napa cabbage kimchi
S_homestyle blueberry milk,#N/A,steamed sweet millet rice,mandu (dumpling) soup (processed mandu),braised chicken drumsticks,seasoned bokchoy,radish kimchi cubes,S_potato raisin salad,#N/A,steamed white rice,freshwater snail soy paste soup,tofu nuggets,stir-fried garlic stem and walnut,napa cabbage kimchi
S_abalone porridge,#N/A,steamed black rice,fried fish paste soup,braised beef in soy sauce,seasoned spinach,napa cabbage kimchi,S_royal-style tteokbokki (stir-fried rice cake),S_milk (150ml),steamed sweet millet rice,soft crab tofu soup,stir-fried chicken with cheese,seasoned salad with green bean sprout and salted seaweed,radish kimchi cubes
S_kiwi,#N/A,steamed rice with black soy,spring onion miso paste soup,stir-fried chicken breast and paprika,napa cabbage kimchi,#N/A,S_soboro bun (streusel-like crusted bread),S_milk (150ml),steamed black rice,spinach soy paste soup,braised eggs in soy sauce,stir-fried square-shape fried fish paste,napa cabbage kimchi
S_sweet potato porridge,#N/A,steamed white bean rice,mild kimchi soup,pan-fried pollack,stir-fried zucchini,radish kimchi cubes,S_aglio e olio spaghetti,#N/A,steamed millet rice,mild chicken stew,mushroom dumpling,seasoned salad with sedum in yuzu marinade,napa cabbage kimchi
S_tangerine,#N/A,steamed mixed-grain rice,mini-ball rice cake soup,chop steak,stir-fried chwinamul,napa cabbage kimchi,S_jam sandwich,S_milk (150ml),steamed white bean rice,pollack stew,steamed winter celery with rice cake in red chilli paste,Fusilli salad (tomato sauce),napa cabbage kimchi
S_soy milk (150ml),#N/A,stir-fried rice with burdock and vegetables,persimmon pine nut soup,steamed eggs with bacon,napa cabbage kimchi,#N/A,S_Yaksik (sweet rice with jujube),S_milk (100ml),steamed mixed-grain rice,canola soy paste soup,stir-fried meat ball and vegetables,seasoned salad with chwinamul in soy paste,napa cabbage kimchi
S_strawberry,#N/A,steamed millet rice,dried pollack soup,braised tofu,stir-fried broccoli and vegetables,radish kimchi cubes,S_rice ball with fried tofu and spring parsley,S_milk (100ml),steamed white rice,dried shrimp daikon soup,stir-fried beef and potato,braised burdock slices,napa cabbage kimchi
S_cod veggie porridge,#N/A,steamed millet rice,clam chive soup,stir-fried pork and cabbage,seasoned salad with lettuce and apple in vinegar marinade,napa cabbage kimchi,S_milk (100ml),S_steamed rice cake with mugwort,steamed millet rice,dried pollack daikon soup,fried eggs with tofu,seasoned salad with shepherd's purse in soy paste,napa cabbage kimchi
S_orange,S_yoghurt (100ml),stir-fried rice with beef,bean sprout soup,stir-fried oyster mushroom,napa cabbage kimchi,onion in vinegar marinade,S_soy-based deep-fried chicken nuggets,S_green plum tea,steamed millet rice,clam soup,stir-fried pork and winter celery,apple salad (mayonnaise),napa cabbage kimchi
S_corn soup,S_crouton,steamed sweet millet rice,zucchini soy paste soup,pan-fried cuttlefish dumpling,stir-fried dried pollack,napa cabbage kimchi,S_stir-fried shrimp in cream sauce,#N/A,steamed rice with bean sprout + marinade sauce,winter mushroom soup,deep-fried glass noodles in seaweed,stir-fried beef and carrot,napa cabbage kimchi
S_banana,#N/A,steamed mixed-grain rice,mild tuna kimchi stew,rolled omelette with vegetables,seasoned spring cabbage,radish kimchi cubes,S_milk (150ml),S_pizza bread,steamed sweet millet rice,cuttlefish soup,braised chicken and walnut,seasoned zucchini,napa cabbage kimchi
S_soy milk (150ml),#N/A,steamed white rice,banquet noodles,stir-fried anchovy and walnut,S_fried mandu (dumpling),napa cabbage kimchi,S_grape,#N/A,steamed mixed-grain rice,egg spring onion soup,pan-fried tuna with perilla leaves,seasoned salad with lotus root in black sesame sauce,napa cabbage kimchi
S_kiwi,S_yoghurt (100ml),steamed red bean rice,shepherd's purse soy paste soup,grilled cutlassfish,deep-fried vegetables,napa cabbage kimchi,S_sweet red bean bun,#N/A,steamed white rice,green bean sprout soup,barbequed pork belly and cuttlefish,stir-fried Pyogo mushroom,napa cabbage kimchi
S_beef veggie porridge,#N/A,steamed black rice,bean powder mugwort  soup,braised chicken and potato,seasoned fuki stem,napa cabbage kimchi,S_cheese stick,#N/A,steamed red bean rice,mushroom daikon soup,braised cutlassfish,deep-fried broccoli,napa cabbage kimchi
S_tuna veggie porridge,#N/A,beef bean sprout rice + marinade sauce,bean powder napa cabbage soup,seasoned salad with lettuce and apple,seasoned salad with mung bean jelly and salted seaweed,radish kimchi cubes,S_sandwich,S_milk (100ml),steamed black rice,potato onion soup,stir-fried chicken with cheese,seasoned daikon and perilla seed,napa cabbage kimchi
S_strawberry,S_milk (100ml),steamed millet rice,cabbage soy paste soup,braised tofu in marinade sauce,stir-fried chwinamul,napa cabbage kimchi,S_stir-fried rice in oyster sauce,#N/A,steamed mixed-grain rice,bean sprout soup,barbequed beef and mini-ball rice cake,apple salad (mayonnaise),napa cabbage kimchi
S_sweet rice chicken porridge,#N/A,steamed sweet millet rice,oyster mushroom soup,stir-fried spicy pork,(low-salt ， low-sugar) braised burdock slices,radish kimchi cubes,S_steamed rice cake with mugwort,S_milk (100ml),steamed millet rice,spinach soy paste soup,fried eggs with tofu,cabbage salad in yuzu marinade,napa cabbage kimchi
S_soy milk (200ml),#N/A,steamed white rice (add),aglio e olio spaghetti,cream soup,onion in vinegar marinade,radish kimchi cubes,S_milk (100ml),S_steamed potato,steamed sweet millet rice,mushroom soy paste soup,deep-fried cuttlefish rings,stir-fried seaweed stem and soft crab,radish kimchi cubes
S_white grape,S_milk (100ml),steamed black rice,bokchoy soup,braised chicken shreds,seasoned cucumber,napa cabbage kimchi,S_fermented rice cake,S_Omija tea,steamed millet rice,mugwort soup,stir-fried pork in oyster sauce,seasoned salad with wild chive and salted seaweed,napa cabbage kimchi
S_soft crab tofu soup,#N/A,steamed millet rice,dried shrimp daikon soup,braised beef and walnut,parboiled broccoli (black sesame sauce),napa cabbage kimchi,S_Yaksik (sweet rice with jujube),S_milk (100ml),steamed black rice,mild chicken stew,soft tofu + marinade sauce,seasoned bokchoy,napa cabbage kimchi
S_homestyle blueberry milk,#N/A,stir-fried rice with anchovy,winter mushroom soup,roasted chicken with butter,lettuce salad (sesame dressing),radish kimchi cubes,S_banquet noodles,#N/A,steamed white rice,clam soup,Neobiani,fresh kimchi with chive,radish kimchi cubes
S_black sesame porridge,#N/A,steamed mixed-grain rice,dried radish leaf soy paste soup,pan-fried cuttlefish dumpling,daikon salad,napa cabbage kimchi,S_pan-fried vegetables with mugwort,S_milk (100ml),steamed white rice,short rib beef soup,stir-fried anchovy and nuts,seasoned winter mushroom,radish kimchi cubes
S_fruit salad (yoghurt dressing),#N/A,steamed red bean rice,beef soup with glass noodles,braised quail eggs and fried fish paste bowl,stir-fried perilla leaf,napa cabbage kimchi,S_milk (100ml),S_milk bread roll + strawberry jam,steamed millet rice,freshwater snail tofu soy paste soup,stir-fried chicken breast in curry,radish kimchi cubes,napa cabbage and soft crab salad
S_cherry tomato,S_cheese,curried rice with fruits,spring onion miso paste soup,tofu tuna salad (yuzu dressing),napa cabbage kimchi,S_yoghurt (100ml),S_rice ball with seaweed flakes,S_misugaru (mixed grain powder),steamed red bean rice,fried fish paste soup,stir-fried beef and glass noodles,stir-fried mushroom and vegetables,napa cabbage kimchi
S_kiwi,S_yoghurt (100ml),steamed millet rice,clam chive soup,braised pork roll with rice cake,seasoned cabbage,radish kimchi cubes,S_pancake,S_green plum tea,steamed mixed-grain rice,egg spring onion soup,barbequed pork belly and cuttlefish,seasoned salad with dried radish leaves in soy paste,napa cabbage kimchi
S_pollack porridge,#N/A,steamed millet rice,mild beef stew,stir-fried shrimp in chilli sauce,radish kimchi cubes,mung bean jelly salad,S_potato raisin salad,S_milk (100ml),steamed millet rice,chive soy paste soup,stir-fried beef and cabbage,seasoned salad with cucumber,napa cabbage kimchi
S_orange,#N/A,steamed white rice,rice cake mandu (dumpling) soup,napa cabbage kimchi,pan-fried shepherd's purse,beet and daikon in vinegar marinade,S_soy-based deep-fried chicken nuggets,S_milk (100ml),steamed millet rice,shrimp soup,stir-fried pork and onion,seasoned salad with mung bean jelly and salted seaweed,napa cabbage kimchi
S_chard soy paste porridge,#N/A,steamed white bean rice,dried pollack kimchi soup,steamed eggs with vegetables,salted dried sea lettuce,radish kimchi cubes,S_Sujebi with perilla seeds,S_milk (100ml),steamed white rice,shepherd's purse soy paste soup,deep-fried mandu (dumpling),seasoned herbs with aubergine,napa cabbage kimchi
S_strawberry,S_milk (100ml),steamed black rice,bean sprout soup,barbequed duck,S_cucumber carrot stick,napa cabbage kimchi,S_rainbow rice cake,S_orange juice (sugar-free),steamed white bean rice,dried pollack soup,rolled omelette with vegetables,seasoned salad with sea lettuce,radish kimchi cubes
S_soy milk (150ml),#N/A,steamed rice with black beans,tofu soy paste soup,braised Spanish mackerel,seasoned green bean sprout,napa cabbage kimchi,S_sponge cake,S_milk (100ml),steamed black rice,perilla seed daikon soup,roasted smoked duck,seasoned salad with soft crab and bean sprout,napa cabbage kimchi
S_apple,#N/A,steamed millet rice,perilla seed seaweed soup,stir-fried pork and paprika,seasoned zucchini,napa cabbage kimchi,S_mini-Gimbap (rice roll),S_milk (100ml),steamed rice with black beans,green bean sprout soup,grilled Spanish mackerel in sweet soy sauce,braised burdock slices and peanut,radish kimchi cubes
S_beef porridge,#N/A,steamed sweet millet rice,dried shrimp soy paste soup,(low-salt ， low-sugar) braised beef in soy sauce,seasoned salad with bellflower root and cucumber,radish kimchi cubes,S_cream sauce spaghetti,#N/A,steamed millet rice,zucchini salted shrimp soup or stew,beef chop steak,stir-fried mini-Saesongyi mushroom,napa cabbage kimchi
S_banana,S_milk (100ml),stir-fried rice with jukkumi and water celery,soft tofu soup (mild flavor),pan-fried corn and vegetables,napa cabbage kimchi,#N/A,S_sweet potato mattang (sugar-glazed deep-fried sweet potato wedge),#N/A,steamed sweet millet rice,beef soup,pan-fried cod,seasoned cucumber,napa cabbage kimchi
S_egg veggie porridge,#N/A,steamed black rice,pork kimchi stew,grilled halibut,braised peanut,radish kimchi cubes,S_fruit salad (mayonnaise),S_milk (100ml),steamed barley rice,egg spring onion soup,braised jukkumi in soy sauce,paprika corn salad,napa cabbage kimchi
S_pear,S_yoghurt (100ml),steamed millet rice,tofu persimmon pine nut soup,stir-fried chicken breast and broccoli,sedum and black sesame salad,napa cabbage kimchi,S_Baram rice cake (with bean paste),S_soy milk (100ml),steamed mixed-grain rice,Yangsongyi mushroom soy paste soup,pan-fried vegetables with soft crab,seasoned spinach,radish kimchi cubes
S_milk (150ml),#N/A,steamed white rice (add),stir-fried seafood udon (white wheat noodles),tomato caprese salad,radish kimchi cubes,#N/A,S_cheese stick,S_orange,steamed white rice,(low-salt) chicken bone soup,braised mini-potato,seasoned salad with chicory in yuzu marinade,radish kimchi cubes
S_white grape,S_yoghurt (100ml),steamed millet rice,shepherd's purse soy paste soup,stir-fried beef and green bean sprout,deep-fried sweet pumpkin,napa cabbage kimchi,S_blueberry sweet potato salad,#N/A,steamed black rice,mild kimchi soup,braised halibut in marinade sauce,macaroni and vegetables salad (mayonnaise),radish kimchi cubes
S_abalone porridge,#N/A,steamed white rice,Yangsongyi mushroom soup,pork cutlet,cabbage salad (strawberry dressing),napa cabbage kimchi,S_cheese bread,#N/A,steamed millet rice,wild chive soy paste soup,stir-fried beef and pineapple,steamed sweet pumpkin with nuts,radish kimchi cubes
S_(low-sugar) cereal,S_milk (100ml),Mapa tofu rice bowl (mild flavor),beef seaweed soup,royal-style tteokbokki (stir-fried rice cake),napa cabbage kimchi,S_tangerine,S_boiled egg,S_barley tea,steamed white rice,bean powder napa cabbage soup,stir-fried pork and Yangsongyi mushroom,steamed cabbage,radish kimchi cubes
S_Yangsongyi mushroom cheese porridge,#N/A,steamed mixed-grain rice,cuttlefish soup,steamed eggs,seasoned salad with bean sprout,napa cabbage kimchi,S_steamed rice cake with mugwort,S_milk (100ml),steamed sweet millet rice,winter mushroom soy paste soup,barbequed beef,seasoned salad with spring parsley,napa cabbage kimchi
S_kiwi,S_cheese stick,steamed millet rice,daikon soup,roasted pork,seasoned herbs with aubergine,napa cabbage kimchi,S_steamed potato,S_milk (150ml),steamed mixed-grain rice,chive egg  soup,stir-fried cuttlefish and vegetables,seasoned salad with bean sprout and salted seaweed,napa cabbage kimchi
S_soy milk (150ml),#N/A,beef rice ball,mini-ball rice cake seaweed soup,stir-fried mini-Saesongyi mushroom,napa cabbage kimchi,#N/A,S_pancake,S_milk (150ml),steamed millet rice,mild kimchi soup,braised pork in soy sauce (tenderloin),seasoned dried radish leaves and perilla seed,radish kimchi cubes
S_(low-sugar) cereal,S_milk (150ml),steamed black rice,mushroom soup,barbequed duck,pan-fried chive,napa cabbage kimchi,S_steamed corn,S_barley tea,steamed millet rice,potato onion soup,stir-fried beef and glass noodles,braised dried cuttlefish in soy sauce,napa cabbage kimchi
S_kimchi porridge,#N/A,steamed sweet brown rice,dried pollack soup,braised konjac and quail eggs in soy sauce,seasoned green bean sprout,napa cabbage kimchi,S_bread roll,S_milk (150ml),steamed black rice,chive soy paste soup,roasted smoked duck,stir-fried oyster mushroom,napa cabbage kimchi
S_orange,S_yoghurt (100ml),steamed white rice (add),Sujebi with potato,roasted chicken with butter,stir-fried fried fish paste bowl,radish kimchi cubes,S_snow white rice cake,S_green plum tea,steamed sweet brown rice,dried pollack kimchi soup,shrimp cutlet + tartar sauce,mung bean jelly salad,napa cabbage kimchi
S_veggie porridge,#N/A,steamed black rice,soft tofu stew,stir-fried soft crab and paprika,seasoned salad with cucumber,napa cabbage kimchi,S_udon (white wheat noodles) with stir-fried seafood,S_milk (150ml),steamed white rice,fried fish paste soup,stir-fried chicken in soy sauce,stir-fried potato,radish kimchi cubes
S_cherry tomato,S_cheese,steamed millet rice,dried radish leaf soy paste soup,steamed pork,seasoned salad with lettuce in vinegar marinade,radish kimchi cubes,S_soboro bun (streusel-like crusted bread),S_milk (150ml),steamed black rice,soft tofu soup (mild flavor),pan-fried soft crab with eggs,seasoned cucumber,napa cabbage kimchi
S_misugaru (mixed grain powder),#N/A,stir-fried rice with broccoli and vegetables,tuna kimchi soup,tofu nuggets,radish kimchi cubes,#N/A,S_anchovy rice ball,S_milk (150ml),steamed millet rice,perilla seed daikon soup,steamed pork slices,steamed cabbage wraps + soy red chilli paste,napa cabbage kimchi
S_Korean melon,#N/A,steamed white rice,potato soy paste soup,stir-fried shrimp and paprika,seasoned spinach,napa cabbage kimchi,S_sweet red bean bun,S_milk (150ml),steamed black rice,mini-ball rice cake soup,braised spicy chicken without bones,napa cabbage kimchi,cucumber in vinegar marinade
S_mung bean porridge,#N/A,steamed sweet brown rice,zucchini  soup,braised tofu,seasoned salad with bellflower root and sliced cuttlefish,napa cabbage kimchi,S_steamed potato,S_milk (150ml),steamed white rice,persimmon pine nut soup,stir-fried beef and paprika,seasoned fuki stem and perilla seed,napa cabbage kimchi
S_homestyle blueberry banana milk,#N/A,steamed rice with black soy pork,egg soup,mushroom dumpling,cabbage salad,radish kimchi cubes,S_mini-mandu (dumpling),S_yuzu tea,steamed sweet brown rice,tofu soy paste stew,stir-fried cuttlefish and vegetables,seasoned zucchini,napa cabbage kimchi
S_cabbage brown rice porridge,#N/A,steamed black rice,shepherd's purse soy paste soup,grilled Spanish mackerel,stir-fried oyster mushroom,napa cabbage kimchi,S_fermented rice cake,S_milk (150ml),steamed mung bean rice,bean sprout soup,stir-fried pork and mushroom,scrambled eggs,radish kimchi cubes
S_pear,S_apple,steamed millet rice,ox bone soup with glass noodles,stir-fried spicy pork,stir-fried chwinamul,napa cabbage kimchi,S_boiled egg,S_milk (150ml),steamed black rice,beef seaweed soup,braised Spanish mackerel and daikon,seasoned salad with bean sprout,napa cabbage kimchi
S_soy milk (150ml),S_white grape,steamed red bean rice,mushroom soup,stir-fried pork and winter celery with glass noodles,seasoned salad with lettuce and cucumber,napa cabbage kimchi,S_milk (150ml),S_cheese cake,steamed millet rice,wild chive soy paste soup,braised tofu in marinade sauce,stir-fried garlic stem and walnut,napa cabbage kimchi
S_orange,#N/A,steamed millet rice,mild pork kimchi stew,stir-fried tuna and vegetables,seasoned salad with spring parsley in yuzu marinade,radish kimchi cubes,S_sweet potato mattang (sugar-glazed deep-fried sweet potato wedge),S_milk (150ml),steamed rice with chwinamul + marinade sauce,napa cabbage soy paste soup,braised meat ball in ketchup,grilled salted seaweed,napa cabbage kimchi
S_abalone porridge,#N/A,steamed sweet brown rice,clam chive soup,stir-fried chicken in black soy,daikon salad,napa cabbage kimchi,S_pan-fried deluxe rice,S_milk (150ml),steamed millet rice,bean powder napa cabbage soup,steamed pork and sweet pumpkin,pan-fried spring parsley,radish kimchi cubes
S_cherry tomato,S_yoghurt (100ml),steamed sweet millet rice,crab soup,pan-fried meat dumpling,macaroni salad,napa cabbage kimchi,S_royal-style tteokbokki (stir-fried rice cake),S_yuzu tea,steamed sweet brown rice,clam soup,braised chicken in teriyaki sauce,fresh kimchi with chive,napa cabbage kimchi
