Breakfast1,Breakfast2,Breakfast3,Breakfast4,Breakfast5,Morning Snack1,Morning Snack2,Lunch1,Lunch2,Lunch3,Lunch4,Lunch5,Afternoon Snack1,Afternoon Snack2,Dinner1,Dinner2,Dinner3,Dinner4,Dinner5,Score
steamed corn rice (30),mandu (dumpling) soft tofu stew,steamed bean sprout,seasoned salad with spicy bean sprout,pickled beet,S_Solomon's seal tea,S_acorn jelly soup,Bibimbap with summer radish,oyster mushroom soup,(chilli powder-free) seasoned salad with overripe cucumber,dried radish,summer radish watery kimchi,S_sweet potato shake,S_raisin potato bowl,steamed sweet rice,mandu (dumpling) chicken stew,stir-fried zucchini,stir-fried tofu and vegetables in oyster sauce,seasoned salad with pickled daikon,1
steamed corn rice (30),mandu (dumpling) chicken stew,stir-fried tofu and vegetables in oyster sauce,dried radish,summer radish watery kimchi,S_acorn jelly soup,S_Solomon's seal tea,Bibimbap with summer radish,oyster mushroom soup,seasoned salad with spicy bean sprout,(chilli powder-free) seasoned salad with overripe cucumber,seasoned salad with pickled daikon,S_raisin potato bowl,S_sweet potato shake,steamed sweet rice,mandu (dumpling) soft tofu stew,steamed bean sprout,stir-fried zucchini,pickled beet,3
steamed corn rice,mandu (dumpling) chicken stew,stir-fried tofu and vegetables in oyster sauce,dried radish,summer radish watery kimchi,S_cheese,S_Solomon's seal tea,Bibimbap with summer radish,oyster mushroom soup,steamed eggs,cucumber stick,radish watery kimchi,S_apple,S_sweet potato shake,steamed sweet rice,mandu (dumpling) soft tofu stew,seasoned salad with cuttlefish in vinegar marinade,stir-fried zucchini,pickled beet,5
steamed mixed-grain rice,corn soup,cucumber kimchi,cabbage salad (sesame dressing),whole radish kimchi,S_green plum tea,S_milk with misugaru (mixed grain powder),steamed brown rice (40),kimchi soup,seasoned oyster mushroom,braised beef in soy sauce,cucumber kimchi,S_red bean porridge,S_soft tofu salad (oriental dressing),beef rice ball,bokchoy soup,rolled omelette,fresh kimchi with chicory,kohlrabi watery kimchi,1
steamed brown rice (40),kimchi soup,rolled omelette,cabbage salad (sesame dressing),cucumber kimchi,S_red bean porridge,S_milk with misugaru (mixed grain powder),beef rice ball,bokchoy soup,seasoned oyster mushroom,cucumber kimchi,whole radish kimchi,S_soft tofu salad (oriental dressing),S_green plum tea,steamed mixed-grain rice,corn soup,braised beef in soy sauce,fresh kimchi with chicory,kohlrabi watery kimchi,4
steamed brown rice,kimchi soup,rolled omelette,cabbage salad (sesame dressing),cucumber kimchi,S_pear,S_milk with misugaru (mixed grain powder),beef rice ball,bokchoy soup,seasoned oyster mushroom,seasoned salad with cucumber,kohlrabi watery kimchi,S_surichui rice cake,S_green plum tea,steamed mixed-grain rice,chicken stew,braised beef in soy sauce,fresh kimchi with chicory,whole radish kimchi,5
Japanese beef rice bowl (gyudon),oyster tofu soup,steamed mandu (dumpling),braised anchovy and sweet napa cabbage,radish watery kimchi,S_rice punch,S_fried fish paste soup,steamed sweet rice,oyster mushroom soup,stir-fried jukkumi and vegetables in soy sauce,steamed aubergine in marinade sauce,radish kimchi cubes,S_raisin potato bowl,S_sweet potato shake,steamed sweet potato rice (40),mushroom beef soup,seasoned bellflower root and perilla seed,stir-fried zucchini,sweet napa cabbage watery kimchi,1
steamed sweet potato rice (40),oyster tofu soup,braised anchovy and sweet napa cabbage,stir-fried zucchini,radish watery kimchi,S_raisin potato bowl,S_sweet potato shake,Japanese beef rice bowl (gyudon),oyster mushroom soup,steamed mandu (dumpling),steamed aubergine in marinade sauce,radish kimchi cubes,S_fried fish paste soup,S_rice punch,steamed sweet rice,mushroom beef soup,stir-fried jukkumi and vegetables in soy sauce,seasoned bellflower root and perilla seed,sweet napa cabbage watery kimchi,4
steamed sweet potato rice,oyster tofu soup,three-color steamed eggs,braised anchovy and sweet napa cabbage,radish watery kimchi,S_strawberry,S_milk (200ml),Japanese beef rice bowl (gyudon),oyster mushroom soup,steamed mandu (dumpling),vegetables salad (balsamic vinegar dressing),radish kimchi cubes,S_orange,S_rice punch,steamed sweet rice,mushroom beef soup,stir-fried jukkumi and vegetables in soy sauce,seasoned bellflower root and perilla seed,sweet napa cabbage watery kimchi,5
steamed corn rice (30),fried tofu spring onion  soup,steamed bean sprout,stir-fried tofu and vegetables in oyster sauce,perilla leaf kimchi,S_cucumber carrot stick,S_homestyle banana milk,steamed pearl barley rice,red bean porridge,grilled dried white bait,empty,whole radish kimchi,S_rice-based beverage,S_sesame sweet potato porridge,pork cabbage rice bowl,konjac fried fish paste soup,braised chicken in tomato sauce,empty,summer radish kimchi,1
steamed corn rice (30),red bean porridge,stir-fried tofu and vegetables in oyster sauce,steamed bean sprout,perilla leaf kimchi,S_sesame sweet potato porridge,S_rice-based beverage,pork cabbage rice bowl,fried tofu spring onion  soup,empty,empty,summer radish kimchi,S_cucumber carrot stick,S_homestyle banana milk,steamed pearl barley rice,konjac fried fish paste soup,braised chicken in tomato sauce,grilled dried white bait,whole radish kimchi,2
steamed corn rice,beef winter mushroom soup,stir-fried tofu and vegetables in oyster sauce,steamed bean sprout,perilla leaf kimchi,S_pineapple,S_milk (150ml),pork cabbage rice bowl,fried tofu spring onion  soup,roasted aubergine,lettuce salad (lemon dressing),summer radish kimchi,S_cucumber carrot stick,S_homestyle banana milk,steamed pearl barley rice,konjac fried fish paste soup,braised chicken in tomato sauce,grilled dried white bait,whole radish kimchi,5
steamed red bean rice (30),clam soup,seasoned zucchini,dried radish,seasoned salad with pickled daikon,S_rice punch,S_beef potato porridge,stir-fried rice with white kimchi,mandu (dumpling) chicken stew,seasoned salad with spicy bean sprout,stir-fried pork and kimchi,radish kimchi cubes,S_soft tofu salad (oriental dressing),S_sweet potato shake,steamed sweet rice,zucchini salted shrimp soup or stew,stir-fried dried shrimp and zucchini,seasoned salad with sweet potato stem in soy paste,radish watery kimchi,1
steamed red bean rice (30),zucchini salted shrimp soup or stew,seasoned salad with spicy bean sprout,dried radish,radish kimchi cubes,S_beef potato porridge,S_rice punch,stir-fried rice with white kimchi,clam soup,seasoned zucchini,seasoned salad with sweet potato stem in soy paste,seasoned salad with pickled daikon,S_soft tofu salad (oriental dressing),S_sweet potato shake,steamed sweet rice,mandu (dumpling) chicken stew,stir-fried pork and kimchi,stir-fried dried shrimp and zucchini,radish watery kimchi,2
steamed red bean rice,zucchini salted shrimp soup or stew,roasted smoked duck,stir-fried mini-Saesongyi mushroom,radish kimchi cubes,S_cheese,S_rice punch,stir-fried rice with white kimchi,clam soup,stir-fried potato and vegetables,apple and lotus root salad,seasoned salad with pickled daikon,S_watermelon,S_walnut milk,steamed sweet rice,mandu (dumpling) chicken stew,stir-fried pork and kimchi,parboiled broccoli,radish watery kimchi,5
stir-fried rice with broccoli and vegetables,fried fish paste soup,braised chicken in teriyaki sauce,stir-fried chicken without bones,summer radish watery kimchi,S_raisin potato bowl,S_milk (200ml),steamed sweet rice (add),red bean porridge,seasoned oyster mushroom,steamed fish and zucchini,cucumber kimchi,S_misugaru (mixed grain powder),empty,steamed millet rice (30),mandu (dumpling) soup,cabbage salad (sesame dressing),empty,pickled cucumber,1
steamed sweet rice (add),red bean porridge,braised chicken in teriyaki sauce,cabbage salad (sesame dressing),summer radish watery kimchi,empty,S_milk (200ml),stir-fried rice with broccoli and vegetables,fried fish paste soup,steamed fish and zucchini,seasoned oyster mushroom,pickled cucumber,S_raisin potato bowl,S_misugaru (mixed grain powder),steamed millet rice (30),mandu (dumpling) soup,stir-fried chicken without bones,empty,cucumber kimchi,2
steamed sweet rice (add),beef bean sprout soup,braised chicken in teriyaki sauce,cabbage salad (sesame dressing),summer radish watery kimchi,empty,S_milk (200ml),stir-fried rice with broccoli and vegetables,fried fish paste soup,_sweet pumpkin honey steam,seasoned cabbage,pickled cucumber,S_watermelon,S_misugaru (mixed grain powder),steamed millet rice,mandu (dumpling) soup,stir-fried chicken without bones,green salad,cucumber kimchi,5
steamed pearl barley rice,zucchini tofu soy paste soup,stir-fried zucchini,dried radish,radish kimchi cubes,S_milk (100ml),S_soft tofu salad (oriental dressing),curried rice with tofu,tofu clam soup,seasoned winter mushroom,potato gratin,radish watery kimchi,S_pan-fried vegetables,S_rice-based beverage,steamed white bean rice (40),rice cake seaweed soup,stir-fried oyster mushroom and carrot,empty,pickled beet,1
steamed white bean rice (40),rice cake seaweed soup,seasoned winter mushroom,dried radish,radish kimchi cubes,S_soft tofu salad (oriental dressing),S_milk (100ml),curried rice with tofu,tofu clam soup,stir-fried oyster mushroom and carrot,stir-fried zucchini,pickled beet,S_pan-fried vegetables,S_rice-based beverage,steamed pearl barley rice,zucchini tofu soy paste soup,empty,potato gratin,radish watery kimchi,2
steamed white bean rice,rice cake seaweed soup,steamed tofu + marinade sauce,seasoned salad with cabbage,radish kimchi cubes,S_sweet persimmon,S_milk (100ml),curried rice with tofu,spring onion soy paste soup,spinach frittata,sprout salad,pickled beet,S_paprika stick,S_orange juice,steamed pearl barley rice,zucchini tofu soy paste soup,chicken chop steak,potato gratin,radish watery kimchi,5
pork cabbage rice bowl,mandu (dumpling) soup,pan-fried seafood and spring cabbage,steamed aubergine in marinade sauce,seasoned salad with pickled daikon,S_sweet pumpkin rice punch,S_sweet potato shake,steamed sweet rice,tofu stew,stir-fried jukkumi and vegetables in soy sauce,seasoned oyster mushroom,summer radish watery kimchi,S_raisin potato bowl,empty,steamed corn rice (30),dried bonito soy paste soup,steamed pork shank,empty,summer radish kimchi,1
steamed corn rice (30),mandu (dumpling) soup,stir-fried jukkumi and vegetables in soy sauce,empty,seasoned salad with pickled daikon,empty,S_sweet potato shake,pork cabbage rice bowl,dried bonito soy paste soup,pan-fried seafood and spring cabbage,seasoned oyster mushroom,summer radish watery kimchi,S_raisin potato bowl,S_sweet pumpkin rice punch,steamed sweet rice,tofu stew,steamed pork shank,steamed aubergine in marinade sauce,summer radish kimchi,4
steamed corn rice,mandu (dumpling) soup,stir-fried jukkumi and vegetables in soy sauce,sprout salad,white kimchi,empty,S_walnut milk,pork cabbage rice bowl,dried bonito soy paste soup,pan-fried seafood and spring cabbage,seasoned oyster mushroom,summer radish watery kimchi,S_watermelon,S_sweet pumpkin rice punch,steamed sweet rice,tofu stew,steamed pork shank,steamed aubergine in marinade sauce,radish watery kimchi,5
rice bowl with beef and aubergine,assorted mushroom stew,pan-fried cuttlefish and chive,seasoned salad with sweet potato stem in soy paste,whole radish kimchi,S_homestyle banana milk,S_rice-based beverage,steamed millet rice (30),chive soup,seasoned salad with aubergine in marinade sauce,stir-fried zucchini and dried shrimp,radish kimchi cubes,S_soft tofu salad (oriental dressing),empty,steamed sweet rice (add),red bean porridge,vegetables croquette,cream tteokbokki (stir-fried rice cake),pickled beet,1
steamed sweet rice (add),red bean porridge,seasoned salad with aubergine in marinade sauce,stir-fried zucchini and dried shrimp,radish kimchi cubes,S_soft tofu salad (oriental dressing),S_rice-based beverage,rice bowl with beef and aubergine,chive soup,pan-fried cuttlefish and chive,seasoned salad with sweet potato stem in soy paste,whole radish kimchi,empty,S_homestyle banana milk,steamed millet rice (30),assorted mushroom stew,vegetables croquette,cream tteokbokki (stir-fried rice cake),pickled beet,3
steamed white rice,short rib beef soup,vegetables croquette,stir-fried zucchini and dried shrimp,radish kimchi cubes,S_fruit salad (yoghurt dressing),S_lemon juice,rice bowl with beef and aubergine,chive soup,pan-fried cuttlefish and chive,seasoned salad with sweet potato stem in soy paste,whole radish kimchi,empty,S_milk (100ml),steamed millet rice,assorted mushroom stew,cream tteokbokki (stir-fried rice cake),lettuce strawberry salad,pickled beet,5
pork cabbage rice bowl,tofu stew,steamed aubergine with marinade sauce,steamed pork shank,radish watery kimchi,S_rice punch,S_cream sauce spaghetti,steamed mixed-grain rice (40),oyster mushroom soup,seasoned salad with paprika in yuzu marinade,stir-fried zucchini,seasoned salad with pickled daikon,S_raisin potato bowl,S_sweet potato shake,steamed sweet rice,mandu (dumpling) soft tofu stew,seasoned salad with spicy bean sprout,seasoned oyster mushroom,summer radish watery kimchi,1
steamed mixed-grain rice (40),tofu stew,seasoned oyster mushroom,steamed aubergine with marinade sauce,radish watery kimchi,S_raisin potato bowl,S_sweet potato shake,pork cabbage rice bowl,oyster mushroom soup,stir-fried zucchini,seasoned salad with paprika in yuzu marinade,seasoned salad with pickled daikon,S_cream sauce spaghetti,S_rice punch,steamed sweet rice,mandu (dumpling) soft tofu stew,steamed pork shank,seasoned salad with spicy bean sprout,summer radish watery kimchi,3
steamed mixed-grain rice,tofu stew,grilled Spanish mackerel with lemon,steamed aubergine with marinade sauce,radish watery kimchi,S_cheese,S_sweet potato shake,pork cabbage rice bowl,veggie soup,stir-fried zucchini,seasoned salad with paprika in yuzu marinade,seasoned salad with pickled daikon,S_cherry tomato,S_rice punch,steamed sweet rice,mandu (dumpling) soft tofu stew,steamed pork shank,seasoned salad with spicy bean sprout,summer radish watery kimchi,5
steamed corn rice (30),beef brisket soy paste soup,stir-fried jukkumi and vegetables in soy sauce,fresh kimchi with winter cabbage,pickled beet,S_aglio e olio spaghetti,S_yuzu tea,steamed sweet rice (add),tofu persimmon pine nut soup,cream tteokbokki (stir-fried rice cake),dried radish,radish kimchi cubes,S_milk with misugaru (mixed grain powder),S_soft tofu salad (oriental dressing),steamed pearl barley rice,oyster mushroom soup,pan-fried seaweed and potato,empty,whole radish kimchi,1
steamed sweet rice (add),tofu persimmon pine nut soup,empty,dried radish,whole radish kimchi,S_soft tofu salad (oriental dressing),S_milk with misugaru (mixed grain powder),steamed corn rice (30),beef brisket soy paste soup,cream tteokbokki (stir-fried rice cake),pan-fried seaweed and potato,radish kimchi cubes,S_aglio e olio spaghetti,S_yuzu tea,steamed pearl barley rice,oyster mushroom soup,stir-fried jukkumi and vegetables in soy sauce,fresh kimchi with winter cabbage,pickled beet,2
steamed sweet rice,tofu persimmon pine nut soup,three-color steamed eggs,sprout salad,whole radish kimchi,S_paprika stick,S_milk (150ml),steamed corn rice,beef brisket soy paste soup,cream tteokbokki (stir-fried rice cake),pan-fried seaweed and potato,radish kimchi cubes,empty,S_yuzu tea,steamed pearl barley rice,oyster mushroom soup,stir-fried jukkumi and vegetables in soy sauce,fresh kimchi with winter cabbage,pickled beet,5
steamed red bean sweet rice,cold Korean melon seaweed soup,seasoned salad with spicy bean sprout,salted sea lettuce,summer radish kimchi,S_raisin potato bowl,S_rice punch,steamed chestnut bean rice (30),tofu stew,stir-fried tofu and vegetables in oyster sauce,stir-fried zucchini,radish watery kimchi,S_sweet potato shake,S_seaweed beef porridge,pork cabbage rice bowl,octopus soup,seasoned zucchini,steamed aubergine with marinade sauce,cucumber kimchi,1
steamed chestnut bean rice (30),tofu stew,stir-fried tofu and vegetables in oyster sauce,stir-fried zucchini,summer radish kimchi,S_seaweed beef porridge,S_sweet potato shake,pork cabbage rice bowl,cold Korean melon seaweed soup,seasoned salad with spicy bean sprout,seasoned zucchini,radish watery kimchi,S_raisin potato bowl,S_rice punch,steamed red bean sweet rice,octopus soup,steamed aubergine with marinade sauce,salted sea lettuce,cucumber kimchi,2
steamed chestnut bean rice,tofu stew,braised pork in soy sauce with Yangsongyi mushroom,stir-fried zucchini,summer radish kimchi,S_cheese,S_sweet potato shake,pork cabbage rice bowl,spring onion soy paste soup,roasted chicken drumsticks,seasoned zucchini,radish watery kimchi,S_orange,S_rice punch,steamed red bean sweet rice,octopus soup,roasted pork roll with rice cake,salted sea lettuce,cucumber kimchi,5
steamed millet rice (30),seaweed mandu (dumpling) soup,pan-fried vegetables with lotus root,lotus root and black sesame salad,radish watery kimchi,S_red bean porridge,S_Korean melon salad,steamed sweet rice,zucchini salted shrimp soup or stew,seasoned bellflower root,empty,pickled daikon,S_rice-based beverage,S_milk (100ml),steamed sweet rice (add),mini-udon (white wheat noodles) with fried tofu,pan-fried beef and perilla,empty,whole radish kimchi,1
steamed sweet rice (add),zucchini salted shrimp soup or stew,empty,lotus root and black sesame salad,radish watery kimchi,S_red bean porridge,S_rice-based beverage,steamed millet rice (30),mini-udon (white wheat noodles) with fried tofu,pan-fried vegetables with lotus root,empty,pickled daikon,S_Korean melon salad,S_milk (100ml),steamed sweet rice,seaweed mandu (dumpling) soup,pan-fried beef and perilla,seasoned bellflower root,whole radish kimchi,2
steamed sweet rice,zucchini salted shrimp soup or stew,steamed chicken,lotus root and black sesame salad,radish watery kimchi,S_watermelon,empty,stir-fried rice with chicken and paprika,mini-udon (white wheat noodles) with fried tofu,pan-fried vegetables with lotus root,fruit salad,pickled beet,S_apple,S_milk (150ml),steamed sweet rice,seaweed mandu (dumpling) soup,pan-fried beef and perilla,seasoned bellflower root,whole radish kimchi,5
steamed chestnut bean rice,mandu (dumpling) soup,tomato cheese salad,seasoned winter mushroom,pickled beet,S_barley tea,S_soft tofu salad (oriental dressing),rice bowl with beef and aubergine,kimchi tofu soup,barbequed beef,stir-fried zucchini with bean powder,perilla leaf kimchi,S_homestyle banana milk,empty,steamed sweet rice (30),red bean porridge,seasoned salad with aubergine,braised anchovy and sweet napa cabbage,kohlrabi watery kimchi,1
steamed sweet rice (30),red bean porridge,stir-fried zucchini with bean powder,seasoned winter mushroom,perilla leaf kimchi,S_soft tofu salad (oriental dressing),S_barley tea,rice bowl with beef and aubergine,kimchi tofu soup,tomato cheese salad,braised anchovy and sweet napa cabbage,pickled beet,empty,S_homestyle banana milk,steamed chestnut bean rice,mandu (dumpling) soup,barbequed beef,seasoned salad with aubergine,kohlrabi watery kimchi,5
steamed sweet rice (30),red bean porridge,stir-fried zucchini with bean powder,seasoned winter mushroom,perilla leaf kimchi,S_paprika stick,S_walnut milk,rice bowl with beef and aubergine,veggie soup,empty,tomato cheese salad,pickled beet,empty,S_homestyle banana milk,steamed chestnut bean rice,mandu (dumpling) soup,barbequed beef,seasoned salad with aubergine,kohlrabi watery kimchi,5
steamed mixed-grain rice (40),spring onion bean sprout soup,stir-fried vegetables and eggs,dried radish,summer radish watery kimchi,S_mushroom soy paste porridge,S_milk with misugaru (mixed grain powder),stir-fried rice with shrimp and garlic flakes,curled mallow soup,seasoned salad with soft crab in mayonnaise,macaroni and vegetables salad (mayonnaise),radish kimchi cubes,S_raisin potato bowl,S_rice-based beverage,steamed white rice (add),dried bonito soy paste soup,fresh kimchi with spring parsley,stir-fried pork in black soy,sweet radish kimchi,1
steamed white rice (add),spring onion bean sprout soup,stir-fried vegetables and eggs,dried radish,summer radish watery kimchi,S_mushroom soy paste porridge,S_milk with misugaru (mixed grain powder),stir-fried rice with shrimp and garlic flakes,dried bonito soy paste soup,seasoned salad with soft crab in mayonnaise,macaroni and vegetables salad (mayonnaise),radish kimchi cubes,S_raisin potato bowl,S_rice-based beverage,steamed mixed-grain rice (40),curled mallow soup,stir-fried pork in black soy,fresh kimchi with spring parsley,sweet radish kimchi,3
steamed white rice,minced beef bean sprout soup,stir-fried vegetables and eggs,dried radish,summer radish watery kimchi,S_orange,S_milk with misugaru (mixed grain powder),stir-fried rice with shrimp and garlic flakes,dried bonito soy paste soup,seasoned salad with soft crab in mayonnaise,macaroni and vegetables salad (mayonnaise),radish kimchi cubes,S_raisin potato bowl,S_rice-based beverage,steamed mixed-grain rice,curled mallow soup,stir-fried pork in black soy,fresh kimchi with spring parsley,sweet radish kimchi,5
steamed white bean rice (40),bean sprout beef stew,braised vegetables and fried fish paste bowl,seasoned salad with deodeok and apple,mustard leaf kimchi,S_hot chocolate,S_homestyle banana milk,steamed pearl barley rice,potato soup,cabbage salad in yuzu marinade,seasoned salad with aubergine,whole radish kimchi,S_soft tofu salad (oriental dressing),S_beef burdock porridge,rice bowl with beef and aubergine,freshwater snail soy paste soup with curled mallow,pan-fried winter mushroom with eggs,seasoned salad with spicy bean sprout,pickled beet,1
steamed white bean rice (40),freshwater snail soy paste soup with curled mallow,pan-fried winter mushroom with eggs,seasoned salad with deodeok and apple,mustard leaf kimchi,S_beef burdock porridge,S_homestyle banana milk,rice bowl with beef and aubergine,potato soup,seasoned salad with aubergine,cabbage salad in yuzu marinade,pickled beet,S_soft tofu salad (oriental dressing),S_hot chocolate,steamed pearl barley rice,bean sprout beef stew,braised vegetables and fried fish paste bowl,seasoned salad with spicy bean sprout,whole radish kimchi,3
steamed white bean rice,freshwater snail soy paste soup with curled mallow,pan-fried winter mushroom with eggs,seasoned salad with deodeok and apple,mustard leaf kimchi,S_orange,S_milk (100ml),rice bowl with beef and aubergine,potato soup,roasted aubergine,cabbage salad in yuzu marinade,pickled beet,S_soft tofu salad (oriental dressing),S_hot chocolate,steamed pearl barley rice,bean sprout beef stew,steamed pork and sweet pumpkin,seasoned salad with spicy bean sprout,whole radish kimchi,5
steamed sweet rice (add),mandu (dumpling) soup,stir-fried zucchini and dried shrimp,seasoned salad with shepherd's purse,radish kimchi cubes,S_barley tea,S_macaroni and vegetables salad,Bibimbap with beef,oyster mushroom soup,stir-fried dried shrimp and zucchini,braised chicken in teriyaki sauce,perilla leaf kimchi,S_milk (100ml),S_red bean porridge,steamed red bean rice (30),zucchini soup,seasoned salad with paprika in yuzu marinade,empty,cucumber kimchi,1
steamed red bean rice (30),zucchini soup,empty,stir-fried zucchini and dried shrimp,perilla leaf kimchi,S_red bean porridge,S_barley tea,Bibimbap with beef,oyster mushroom soup,stir-fried dried shrimp and zucchini,seasoned salad with shepherd's purse,radish kimchi cubes,S_macaroni and vegetables salad,S_milk (100ml),steamed sweet rice (add),mandu (dumpling) soup,braised chicken in teriyaki sauce,seasoned salad with paprika in yuzu marinade,cucumber kimchi,3
steamed red bean rice (30),red bean porridge,braised beef in soy sauce,macaroni and vegetables salad,perilla leaf kimchi,S_kiwi,S_yoghurt (100ml),Bibimbap with beef,oyster mushroom soup,stir-fried dried shrimp and zucchini,seasoned salad with shepherd's purse,radish kimchi cubes,S_pear,S_milk (100ml),steamed sweet rice,mandu (dumpling) soup,braised chicken in teriyaki sauce,seasoned salad with paprika in yuzu marinade,cucumber kimchi,5
steamed chestnut bean rice (30),mandu (dumpling) chicken stew,steamed aubergine with marinade sauce,(chilli powder-free) seasoned salad with chive and apple,pickled beet,S_peach walnut smoothie,S_soft tofu salad (oriental dressing),steamed sweet rice,seaweed mandu (dumpling) soup,daikon and pear salad,empty,whole radish kimchi,S_tofu vegetable porridge,S_rice-based beverage,pork cabbage rice bowl,potato egg soup,dried radish,empty,radish watery kimchi,1
steamed sweet rice,seaweed mandu (dumpling) soup,empty,(chilli powder-free) seasoned salad with chive and apple,whole radish kimchi,S_tofu vegetable porridge,S_peach walnut smoothie,pork cabbage rice bowl,potato egg soup,empty,dried radish,pickled beet,S_soft tofu salad (oriental dressing),S_rice-based beverage,steamed chestnut bean rice (30),mandu (dumpling) chicken stew,daikon and pear salad,steamed aubergine with marinade sauce,radish watery kimchi,3
steamed sweet rice,seaweed mandu (dumpling) soup,steamed eggs,daikon and pear salad,whole radish kimchi,S_grape,S_milk (100ml),pork cabbage rice bowl,potato egg soup,deep-fried sweet potato,apple salad (balsamic vinegar dressing),pickled beet,S_orange,S_yoghurt (100ml),steamed chestnut bean rice,mandu (dumpling) chicken stew,steamed pork shank,seasoned salad with aubergine,radish watery kimchi,5
beef rice ball with seaweed flakes,spring onion salted seaweed soup,stir-fried jukkumi and rice cake,pan-fried winter mushroom with eggs,summer radish watery kimchi,S_milk (200ml),S_jujube milk soup,steamed pearl barley rice (40),persimmon pine nut soup,potato wedge,seasoned salad with lettuce and acorn jelly,radish kimchi cubes,S_sweet pumpkin rice punch,S_fruit salad (mayonnaise),steamed white bean rice,chive soup,seasoned salad with winter celery,stir-fried potato and ham,perilla leaf kimchi,1
beef rice ball with seaweed flakes,spring onion salted seaweed soup,potato wedge,seasoned salad with winter celery,summer radish watery kimchi,S_jujube milk soup,S_sweet pumpkin rice punch,steamed pearl barley rice (40),persimmon pine nut soup,pan-fried winter mushroom with eggs,seasoned salad with lettuce and acorn jelly,radish kimchi cubes,S_fruit salad (mayonnaise),S_milk (200ml),steamed white bean rice,chive soup,stir-fried jukkumi and rice cake,stir-fried potato and ham,perilla leaf kimchi,4
beef rice ball with seaweed flakes,spring onion salted seaweed soup,potato wedge,banana apple kiwi salad,summer radish watery kimchi,S_melon,S_sweet pumpkin rice punch,steamed pearl barley rice,persimmon pine nut soup,pan-fried winter mushroom with eggs,seasoned salad with lettuce and acorn jelly,radish kimchi cubes,empty,S_milk (200ml),steamed white bean rice,chive soup,stir-fried jukkumi and rice cake,stir-fried potato and ham,perilla leaf kimchi,5
steamed sweet rice (add),mandu (dumpling) soup,seasoned salad with bellflower root,vegetables croquette,cucumber kimchi,S_rice-based beverage,S_beef burdock porridge,steamed millet rice (30),zucchini soup,seasoned salad with shepherd's purse,seasoned oyster mushroom,summer radish kimchi,S_macaroni and vegetables salad,S_homestyle banana milk,Japanese beef rice bowl (gyudon),assorted mushroom stew,stir-fried potato and fried fish paste,stir-fried dried shrimp and zucchini,pickled beet,1
steamed millet rice (30),mandu (dumpling) soup,stir-fried potato and fried fish paste,seasoned salad with bellflower root,cucumber kimchi,S_beef burdock porridge,S_rice-based beverage,Japanese beef rice bowl (gyudon),zucchini soup,vegetables croquette,seasoned oyster mushroom,summer radish kimchi,S_macaroni and vegetables salad,S_homestyle banana milk,steamed sweet rice (add),assorted mushroom stew,seasoned salad with shepherd's purse,stir-fried dried shrimp and zucchini,pickled beet,3
steamed millet rice,beef green bean sprout soup,stir-fried potato and fried fish paste,seasoned salad with bellflower root,cucumber kimchi,S_pear,S_milk (150ml),Japanese beef rice bowl (gyudon),zucchini soup,vegetables croquette,macaroni and vegetables salad (mayonnaise),summer radish kimchi,empty,S_homestyle banana milk,steamed sweet rice,assorted mushroom stew,boiled and cooled pork slices,seasoned salad with shepherd's purse,pickled beet,5
steamed sweet brown rice (30),rich soy paste stew,seasoned salad with bellflower root and pear,pan-fried dried shrimp and curled mallow,radish watery kimchi,S_raisin potato bowl,S_milk (100ml),rice bowl with beef and aubergine,kimchi tofu stew,steamed fish and zucchini,macaroni corn salad,summer radish watery kimchi,S_tomato juice,S_red bean porridge,steamed chestnut bean rice,tofu stew,braised burdock slices and konjac,stir-fried spicy jukkumi,radish kimchi cubes,1
steamed sweet brown rice (30),rich soy paste stew,pan-fried dried shrimp and curled mallow,seasoned salad with bellflower root and pear,radish watery kimchi,S_red bean porridge,S_tomato juice,rice bowl with beef and aubergine,tofu stew,steamed fish and zucchini,macaroni corn salad,summer radish watery kimchi,S_raisin potato bowl,S_milk (100ml),steamed chestnut bean rice,kimchi tofu stew,stir-fried spicy jukkumi,braised burdock slices and konjac,radish kimchi cubes,3
steamed sweet brown rice,rich soy paste stew,pan-fried dried shrimp and curled mallow,seasoned salad with bellflower root and pear,radish watery kimchi,empty,S_tomato juice,rice bowl with beef and aubergine,tofu stew,steamed eggs,macaroni corn salad,summer radish watery kimchi,S_watermelon,S_milk (100ml),steamed chestnut bean rice,kimchi tofu stew,stir-fried spicy jukkumi,braised burdock slices and konjac,radish kimchi cubes,5
steamed sweet rice (add),red bean porridge,seasoned mandu (dumpling),seasoned salad with shepherd's purse,pickled beet,S_homestyle banana milk,S_rice-based beverage,stir-fried rice with broccoli and vegetables,mini-udon (white wheat noodles) with fried tofu,stir-fried cuttlefish and shrimp,empty,whole radish kimchi,S_cheese soft crab porridge,S_soft tofu salad (oriental dressing),steamed millet rice (30),bone soup,stir-fried dried shrimp and zucchini,empty,cucumber kimchi,1
steamed sweet rice (add),red bean porridge,empty,seasoned salad with shepherd's purse,whole radish kimchi,S_cheese soft crab porridge,S_homestyle banana milk,stir-fried rice with broccoli and vegetables,mini-udon (white wheat noodles) with fried tofu,seasoned mandu (dumpling),empty,pickled beet,S_soft tofu salad (oriental dressing),S_rice-based beverage,steamed millet rice (30),bone soup,stir-fried cuttlefish and shrimp,stir-fried dried shrimp and zucchini,cucumber kimchi,3
