kor,eng
숙주나물,Seasoned green bean sprout
숙주당근나물,Seasoned green bean sprout and carrot
숙주맛살나물,Seasoned green bean sprout and soft crab
미나리나물,Seasoned winter celery
미나리숙주나물,Seasoned water dropwort and green bean sprout 
숙주미나리나물,Seasoned green bean sprout and winter celery
가지나물,Seasoned herbs with aubergine
참외나물,Seasoned korean melon
비빔만두,Seasoned mandu (dumpling)
모듬버섯나물,Seasoned mushroom
버섯들깨나물,Seasoned mushroom and perilla seed
배추나물,Seasoned napa cabbage
노각나물,Seasoned overripe cucumber
느타리버섯나물,Seasoned oyster mushroom
고춧잎나물,Seasoned pepper leaf
깻순나물,Seasoned perilla leaf(sprouts)
깻잎나물,Seasoned perilla leaf
깻잎들깨나물,Seasoned perilla leaf and perilla seed
조미김,Seasoned roasted seaweed
새송이버섯나물,Seasoned saesongyi mushroom
고사리들깨나물,Seasoned salad bracken with perilla seeds
땅콩우엉무침,Seasoned salad burdock slices and peanut
도토리묵무침,Seasoned salad with acorn jelly
도토리묵김무침,Seasoned salad with acorn jelly and laver
도토리묵채소무침,Seasoned salad with acorn jelly and vegetables
도토리묵간장무침,Seasoned salad with acorn jelly in soy sauce
사과치커리무침,Seasoned salad with apple and chicory
사과상추무침,Seasoned salad with apple and lettuce
사과미나리무침,Seasoned salad with apple and winter celery
가지나물무침,Seasoned salad with aubergine
가지무침,Seasoned salad with egg plant
가지양념무침,Seasoned salad with aubergine in marinade sauce
콩나물무침,Seasoned salad with bean sprout
콩나물김무침,Seasoned salad with bean sprout and salted seaweed
콩나물맛살무침,Seasoned salad with bean sprout and soft crab
콩나물간장무침,Seasoned salad with bean sprout in soy sauce
도라지무침,Seasoned salad with bellflower root
도라지오이무침,Seasoned salad with bellflower root and cucumber
도라지배무침,Seasoned salad with bellflower root and pear
도라지오징어채무침,Seasoned salad with bellflower root and sliced cuttlefish
청경채무침,Seasoned salad with bokchoy
청경채도토리묵무침,Seasoned salad with bokchoy and acorn jelly
청경채사과무침,Seasoned salad with bokchoy and apple
청경채느타리무침,Seasoned salad with bokchoy and oyster mushroom
청경채된장무침,Seasoned salad with bokchoy in soy paste
청경채초무침,Seasoned salad with bokchoy in vinegar marinade
브로콜리무침,Seasoned salad with broccoli
브로콜리오징어무침,Seasoned salad with broccoli and cuttlefish
브로콜리애느타리무침,Seasoned salad with broccoli and oyster mushroom
브로콜리참깨무침,Seasoned salad with broccoli and sesame
브로콜리두부무침,Seasoned salad with broccoli and tofu
브로콜리흑임자소스무침,Seasoned salad with broccoli in black sesame sauce
브로콜리초고추장무침,Seasoned salad with broccoli in red chilli paste with vinegar
브로콜리깨소스무침,Seasoned salad with broccoli in sesame sauce
브로콜리된장무침,Seasoned salad with broccoli in soy paste
브로콜리초무침,Seasoned salad with broccoli in vinegar marinade
브로콜리새우깨무침,Seasoned salad with broccoli shrimp and sesame
양배추무침,Seasoned salad with cabbage
양배추오이무침,Seasoned salad with cabbage and cucumber
양배추마요무침,Seasoned salad with cabbage in mayonnaise
양배추된장무침,Seasoned salad with cabbage in soy paste
양배추쌈장무침,Seasoned salad with cabbage in soy red chilli paste
양배추유자청무침,Seasoned salad with cabbage in yuzu marinade
양배추채무침,Seasoned salad with cabbage slices
유채나물무침,Seasoned salad with canola
유채나물된장무침,Seasoned salad with canola in soy paste
당근참치마요무침,Seasoned salad with carrot and tuna in mayonnaise
근대나물무침,Seasoned salad with chard
근대나물된장무침,Seasoned salad with chard in soy paste
닭가슴살사과무침,Seasoned salad with chicken and apple
닭가슴살부추무침,Seasoned salad with chicken and chive
치커리무침,Seasoned salad with chicory
치커리사과무침,Seasoned salad with chicory and apple
치커리부추무침,Seasoned salad with chicory and chive
치커리배무침,Seasoned salad with chicory and pear
치커리유자청무침,Seasoned salad with chicory in yuzu marinade
부추사과무침,Seasoned salad with chive and apple
부추양파무침,Seasoned salad with chive and onion
부추배무침,Seasoned salad with chive and pear
김가루부추무침,Seasoned salad with chive and seaweed flakes
생취나물무침,Seasoned salad with chwinamul(raw)
취나물무침,Seasoned salad with chwinamul(dried)
취나물들깨무침,Seasoned salad with chwinamul and perilla seed
취나물된장무침,Seasoned salad with chwinamul in soy paste
닭고기냉채,Seasoned salad with cold chicken
훈제오리냉채,Seasoned salad with cold smoked duck
동부묵무침,Seasoned salad with cowpea
쑥갓나물무침,Seasoned crown daisy
쑥갓무침,Seasoned salad with crown daisy
쑥갓들깨무침,Seasoned salad with crown daisy and perilla seed
쑥갓두부무침,Seasoned salad with crown daisy and tofu
오이무침,Seasoned salad with cucumber
오이사과무침,Seasoned salad with cucumber and apple
오이청경채무침,Seasoned salad with cucumber and bokchoy
오이양배추무침,Seasoned salad with cucumber and cabbage
오이당근무침,Seasoned salad with cucumber and carrot
오이치커리무침,Seasoned salad with cucumber and chicory
오이부추무침,Seasoned salad with cucumber and chive
오이양파무침,Seasoned salad with cucumber and onion
오이파프리카무침,Seasoned salad with cucumber and paprika
오이미역초무침,Seasoned salad with cucumber and seaweed in vinegar marinade
오이맛살무침,Seasoned salad with cucumber and soft crab
오이참치마요무침,Seasoned salad with cucumber and tuna in mayonnaise
오이달래무침,Seasoned salad with cucumber and wild chive
오이쌈장무침,Seasoned salad with cucumber in soy red chilli paste
오이유자청무침,Seasoned salad with cucumber in yuzu marinade
오이깍둑무침,Seasoned salad with cucumber kimchi cubes
아욱나물무침,Seasoned curled mallow
아욱무침,Seasoned salad with curled mallow
아욱된장무침,Seasoned salad with curled mallow in soy paste
오징어무침,Seasoned salad with cuttlefish
오징어단무지무침,Seasoned salad with cuttlefish and pickled daikon
오징어초무침,Seasoned salad with cuttlefish in vinegar marinade
오징어채무침,Seasoned salad with cuttlefish slices
오징어실채무침,Seasoned salad with cuttlefish thin slices
무사과무침,Seasoned salad with daikon and apple
무미역무침,Seasoned salad with daikon and seaweed
더덕사과무침,Seasoned salad with deodeok and apple
진미채무침,Seasoned salad with dried cuttlefish
진미채무말랭이무침,Seasoned salad with dried cuttlefish and dried radish
진미채채소무침,Seasoned salad with dried cuttlefish and vegetables
진미채초무침,Seasoned salad with dried cuttlefish in vinegar marinade
쥐포무침,Seasoned salad with dried filefish
북어채무침,Seasoned salad with dried pollack slices
무말랭이무침,Seasoned salad with dried radish
무몰무침,Seasoned salad with radish and gulf weed
시래기된장무침,Seasoned salad with dried radish leaves in soy paste
건파래무침,Seasoned salad with dried sea lettuce
오색묵무침,Seasoned salad with five-color acorn jelly
골뱅이무침,Seasoned salad with freshwater snails
어묵오징어무침,Seasoned salad with fried fish paste and cuttlefish
유부맛살숙주무침,Seasoned salad with fried tofu soft crab and green bean sprout
마늘쫑무침,Seasoned salad with garlic stem
숙주나물무침,Seasoned salad with green bean sprout
숙주나물김무침,Seasoned salad with green bean sprout and salted seaweed
숙주맛살무침,Seasoned salad with green bean sprout and soft crab
숙주초무침,Seasoned salad with green bean sprout in vinegar marinade
가지구이무침,Seasoned salad with grilled aubergine
톳나물무침,Seasoned salad with hijiki
톳두부무침,Seasoned salad with hijiki and tofu
콜라비사과무침,Seasoned salad with kohlrabi and apple
곤약김치무침,Seasoned salad with konjac and kimchi
참외노각무침,Seasoned salad with korean melon and overripe cucumber
상추무침,Seasoned salad with lettuce
도토리묵상추무침,Seasoned salad with lettuce and acorn jelly and vegetables 
상추묵무침,Seasoned salad with lettuce and acorn jelly
상추사과무침,Seasoned salad with lettuce and apple
상추사과초무침,Seasoned salad with lettuce and apple in vinegar marinade
상추부추무침,Seasoned salad with lettuce and chive
상추쑥갓무침,Seasoned salad with lettuce and crown daisy
상추오이무침,Seasoned salad with lettuce and cucumber
상추초무침,Seasoned salad with lettuce in vinegar marinade
상추유자청무침,Seasoned salad with romein in yuzu marinade
양상추유자청무침,Seasoned salad with lettuce in yuzu marinade
연근들깨무침,Seasoned salad with lotus root and perilla seed
연근흑임자소스무침,Seasoned salad with lotus root in black sesame sauce
연근유자청무침,Seasoned salad with lotus root in yuzu marinade
미니새송이버섯무침,Seasoned salad with mini-saesongyi mushroom
청포묵무침,Seasoned salad with mung bean jelly
탕평채무침,Seasoned mung bean jelly and vegetables
청포묵김무침,Seasoned salad with mung bean jelly and salted seaweed
배추된장무침,Seasoned salad with napa cabbage in soy paste
견과류시금치무침,Seasoned salad with nuts and spinach
노각무침,Seasoned salad with overripe cucumber
느타리버섯무침,Seasoned salad with oyster mushroom
느타리버섯김무침,Seasoned salad with oyster mushroom and salted seaweed
파프리카무침,Seasoned salad with paprika
파프리카사과초무침,Seasoned salad with paprika and apple in vinegar marinade
파프리카쌈장무침,Seasoned salad with paprika in soy red chilli paste
파프리카초무침,Seasoned salad with paprika in vinegar marinade
파프리카유자청무침,Seasoned salad with paprika in yuzu marinade
고춧잎된장무침,Seasoned salad with pepper leaf in soy paste
깻잎나물무침,Seasoned salad with perilla leaves
깻잎새콤무침,Seasoned salad with perilla leaves in vinegar marinade
들깨오이무침,Seasoned salad with perilla seeds and cucumber
새우살들깨무침,Seasoned salad with perilla seeds and shrimp
단무지무침,Seasoned salad with pickled daikon
비름나물된장무침,Seasoned salad with pig weed in soy paste
비름나물무침,Seasoned salad with pigweed
김무침,Seasoned salad with salted seaweed
파래무침,Seasoned salad with sea lettuce
파래무채무침,Seasoned salad with sea lettuce and sliced daikon
세발나물무침,Seasoned salad with sea spurrey
세발나물된장무침,Seasoned salad with sea spurrey in soy paste
세발나물초무침,Seasoned salad with sea spurrey in vinegar marinade
미역무침,Seasoned salad with seaweed
미역매실청무침,Seasoned salad with seaweed in green plum marinade
미역초무침,Seasoned salad with seaweed in vinegar marinade
다시마채무침,Seasoned salad with brown kelp slices
돌나물무침,Seasoned salad with sedum
돌나물부추무침,Seasoned salad with sedum and chive
돌나물오이무침,Seasoned salad with sedum and cucumber
돌나물초무침,Seasoned salad with sedum in vinegar marinade
돌나물유자청무침,Seasoned salad with sedum in yuzu marinade
냉이무침,Seasoned salad with shepherd's purse
냉이된장무침,Seasoned salad with shepherd's purse in soy paste
새우살채소깨무침,Seasoned salad with shrimp sesame and vegetables
무채무침,Seasoned salad with sliced daikon
훈제오리무침,Seasoned salad with smoked duck
맛살무침,Seasoned salad with soft crab
맛살콩나물무침,Seasoned salad with soft crab and bean sprout
크래미숙주나물무침,Seasoned salad with soft crab and green bean sprout
맛살채소새콤무침,Seasoned salad with soft crab and vegetables in vinegar marinade
맛살미나리무침,Seasoned salad with soft crab and winter celery
게살마요무침,Seasoned salad with soft crab in mayonnaise
매콤콩나물무침,Seasoned salad with spicy bean sprout
쫄면무침,Seasoned salad with spicy chewy noodles
매콤숙주오이무침,Seasoned salad with spicy green bean sprout and cucumber
매콤숙주미나리무침,Seasoned salad with spicy green bean sprout and winter celery
시금치김무침,Seasoned salad with spinach and salted seaweed
봄동무침,Seasoned salad with spring cabbage
실파김무침,Seasoned salad with spring onion and salted seaweed
참나물무침,Seasoned salad with spring parsley
참나물들깨무침,Seasoned salad with spring parsley and perilla seed
참나물된장무침,Seasoned salad with spring parsley in soy paste
참나물간장무침,Seasoned salad with spring parsley in soy sauce
참나물유자청무침,Seasoned salad with spring parsley in yuzu marinade
열무들깨무침,Seasoned salad with summer radish and perilla seed
열무된장무침,Seasoned salad with summer radish in soy paste
단배추된장무침,Seasoned salad with sweet napa cabbage in soy paste
고구마순된장무침,Seasoned salad with sweet potato stem in soy paste
실곤약채소무침,Seasoned salad with thred konjac and vegetables
실곤약간장채소무침,Seasoned salad with thred konjac and vegetables in soy sauce
삼색초무침,Seasoned salad with three-color herbs
두부쑥갓무침,Seasoned salad with tofu and crown daisy
두부들깨무침,Seasoned salad with tofu and perilla seed
두부미역무침,Seasoned salad with tofu and seaweed
두부톳무침,Seasoned salad with tofu and seaweed fusiforme
토마토치커리무침,Seasoned salad with tomato and chicory
소면채소무침,Seasoned salad with vegetables and plain noodles
쫄면채소무침,Seasoned salad with vegetables and spicy chewy noodles
물미역무초무침,Seasoned salad with wated seaweed in vinegar marinade
달래무침,Seasoned salad with wild chive
달래김무침,Seasoned salad with wild chive and salted seaweed
얼갈이무침,Seasoned salad with winter cabbage
미나리무침,Seasoned salad with winter celery
미나리사과무침,Seasoned salad with winter celery and apple
미나리초무침,Seasoned salad with winter celery in vinegar marinade
동초무침,Seasoned salad with winter herbs
겨울초된장무침,Seasoned salad with winter herbs in soy paste
팽이버섯무침,Seasoned salad with winter mushroom
미역나물,Seasoned seaweed
돌나물사과무침,Seasoned sedum and apples
냉이나물,Seasoned shepherd's purse
표고버섯나물,Seasoned shiitake mushrooms
시금치나물,Seasoned spinach
봄동나물,Seasoned spring cabbage
단배추나물,Seasoned sweet napa cabbage
고구마순들깨나물,Seasoned sweet potato stem and perilla seed
곤드레나물,Seasoned thistle
삼색나물,Seasoned three-color herbs
얼갈이나물,Seasoned winter cabbage
얼갈이된장나물,Seasoned winter cabbage in soy paste
팽이버섯나물,Seasoned winter mushroom
팽이버섯부추나물,Seasoned winter mushroom and chive
애호박나물,Seasoned young pumpkin
호박고지나물,Seasoned dried pumpkin
호박나물,Seasoned zucchini
다시마무채국,Brown kelp daikon soup
미역북어국,Seaweed dried pollack soup
매생이수제비국,Seaweed fulvescens sujebi soup
매생이두부국,Seaweed fulvescens tofu soup
미역만두국,Seaweed mandu (dumpling) soup
미역미소장국,Seaweed miso paste soup
다시마양파국,Brown kelp and onion soup
다시마감자국,Brown kelp and potato soup
다시마새우젓국,Brown kelp and salted shrimp soup
다시마채국,Brown kelp and soup
맑은미역국,Seaweed soup(clear)
미역국,Seaweed soup
소고기미역국,Seaweed soup with beef
미역된장국,Seaweed soy paste soup
미역장국,Seaweed miso soup
미역참치국,Seaweed tuna soup
돌나물흑임자샐러드,Sedum and black sesame salad
돌나물과일샐러드,Sedum fruit salad
재첩국,Shellfish soup
냉이콩나물된장국,Shepherd's purse bean sprout soy paste soup
냉이국,Shepherd's purse soup
냉이된장국,Shepherd's purse soy paste soup
표고버섯무국,Shiitake mushroom radish soup
표고버섯탕,Shiitake mushroom stew
갈비탕,Short rib beef soup
소갈비탕,Short rib beef soup(plate)
갈비탕+당면,Short rib beef soup + glass noodles
모시조개국,Short-necked clam(shell-less) soup
북어채국,Shredded dried pollack soup
양파채국,Shredded onion soup
감자채국,Shredded potato soup
무채된장국,Shredded radish bean paste soup
무채양파국,Shredded radish onion soup
무채국,Shredded radish soup
새우크림스파게티,Shrimp cream spaghetti
새우까스,Shrimp cutlet
새우까스+타르타르소스,Shrimp cutlet + tartar sauce
새우살무국,Shrimp daikon soup
새우탕수,Shrimp dumpling
새우달걀국,Shrimp egg soup
새우감바스,Shrimp gambas
새우살부추국,Shrimp korean-leeks soup
새우버섯덮밥,Shrimp mushroom rice bowl
밥새우주먹밥,Shrimp rice ball
새우살미역국,Shrimp seaweed soup
새우맑은국,Shrimp soup
새우살시금치국,Shrimp spinach soup
새우두부탕국,Shrimp tofu soup
새우살두부국,Shrimp tofu stew
새우굴소스채소볶음밥,Shrimp vegetable fried rice made with oyster sauce
새우살애호박국,Shrimp zucchini soup
소고기등심버섯불고기,Sirloin bulgogi with mushroom
꼬치어묵국,Skewered fish cake soup
"물만두국(달걀제외,가공만두)","Small dumpling soup (no eggs, processed dumplings)"
소보로덮밥,Soboro rice bowl
크래미채소샐러드,Soft crab and vegetable salad
게맛살크로켓,Soft crab croquette
맛살양상추샐러드,Soft crab lettuce salad
게살샐러드,Soft crab salad
크래미유자샐러드,Soft crab yuzu salad
연두부찜,Soft steamed tofu
연두부+흑임자소스,Soft tofu + black sesame sauce
순두부+양념장,Unpressed tofu + marinade sauce
연두부+양념장,Soft tofu + marinade sauce
연두부달걀탕,Soft tofu and eggs soup
연두부부추국,Soft tofu and korean-leeks soup
순두부애호박국,Unpressed tofu and zucchini soup
연두부청경채새우탕,Soft tofu bokchoy shrimp soup
연두부게살스프,Soft tofu crap soup
순두부낙지연포탕,Unpressed tofu octopus soup
연두부샐러드(오리엔탈드레싱),Soft tofu salad (oriental dressing)
연두부새우젓국,Soft tofu salted shrimp soup
연두부새우탕,Soft tofu shrimp soup
맑은순두부국,Unpressed soup(clear)
순두부국,Unpressed tofu soup
연두부맑은국,Soft tofu soup(clear)
연두부탕,Soft tofu soup
순두부백탕,Unpressed soup (mild flavor)
연두부된장찌개,Soft tofu soy paste stew
순두부찌개,Unpressedtofu stew
탕국,Soup
우렁된장소스덮밥,Soy paste rice bowl with freshwater snails
연두부된장덮밥,Soy paste rice bowl with soft tofu
맑은장국,Soy paste soup
게살된장우동,Soy paste udon (white wheat noodles) with soft crab
강된장,Soy paste with beef and mushroom
콩비지맑은국,Soy puree soup
콩비지찌개,Soy puree stew
돼지고기간장불고기,Soy sauce-based pork bulgogi
소고기장조림,Soy sauce-braised beef
소고기달걀장조림,Soy sauce-braised beef and eggs
소고기버섯장조림,Soy sauce-braised beef and mushroom
소고기메추리알장조림,Soy sauce-braised beef and quail eggs
소고기꽈리장조림,Soy sauce-braised beef and shishito peppers
소고기사태장조림,Soy sauce-braised beef shank
돼지고기간장조림,Soy sauce-braised pork
돼지고기양송이장조림,Soy sauce-braised pork and button mushrooms
돼지고기달걀장조림,Soy sauce-braised pork and egg
돼지고기새송이버섯장조림,Soy sauce-braised pork and king oyster mushrooms
돼지고기메추리알장조림,Soy sauce-braised pork and quail eggs
돼지고기무채장조림,Soy sauce-braised pork and shredded radish
오징어달걀장조림,Soy sauce-braised squid and eggs
된장찌개,Soy stew
간장마파두부,Soy-based mapa tofu
간장비빔국수,Soy-based mixed noodles
새우간장덮밥,Soy-based shrimp rice bowl
간장떡볶이,Soy-based tteokbokki (stir-fried rice cake)
소고기된장국,Soybean paste soup with beef
새송이버섯된장국,Soybean paste soup with king oyster mushrooms
표고버섯된장국,Soybean paste soup with shiitake mushroom
매콤오삼불고기,Spicy barbequed pork belly and cuttlefish
매콤콩나물국,Spicy bean sprout soup
매콤소고기숙주국,Spicy beef bean sprout soup
매콤육개장,Spicy beef stew
매콤북어국,Spicy dried pollack soup
매콤어묵국,Spicy fish cake soup
오리주물럭,Spicy marinated duck
맑은짬뽕국,Spicy seafood noodle soup(clear)
해물짬뽕국,Spicy seafood noodle soup
매콤오징어국,Spicy squid soup
닭갈비구이,Spicy stir-fried chicken
닭갈비덮밥,Spicy stir-fried chicken over rice
매콤애호박국,Spicy zucchini soup
시금치북어국,Spinach and dried pollack soup
시금치소고기덮밥,Spinach beef over rice
시금치프리타타,Spinach frittata
시금치된장무침,Spinach seasoned with soybean paste
시금치국,Spinach soup
시금치맑은국,Spinach soup(clear)
시금치된장국,Spinach soy paste soup
봄동된장나물,Spring cabbage in soy sauce
봄동된장국,Spring cabbage soy paste soup
잔파느타리버섯강회,Spring onion and oyster mushroom ties
실파콩나물국,Spring onion bean sprout soup
대파무채국,Green onion daikon soup
실파무채국,Spring onion daikon soup
실파달걀국,Spring onion egg  soup
실파미소장국,Spring onion miso paste soup
대파감자국,Spring onion potato soup
실파김국,Spring onion salted seaweed soup
실파맑은국,Spring onion soup
실파장국,Spring onion soy paste soup
대파된장찌개,Green onion soy paste stew
참나물토마토샐러드,Spring parsley and tomato salad
참나물된장국,Spring parsley soy paste soup
새싹채소샐러드,Sprout salad
양파오징어국,Squid onion soup
오징어감자국,Squid potato soup
가지찜,Steamed aubergine
가지양념찜,Steamed aubergine in sauce
양념가지찜,Steamed aubergine with marinade sauce
보리밥,Steamed barley rice
보리밥(30),Steamed barley rice (30)
보리밥(40),Steamed barley rice (40)
콩나물찜,Steamed bean sprout
소고기떡찜,Steamed beef with rice cake
흑미밥,Steamed black rice
흑미밥(30),Steamed black rice (30)
흑미밥(40),Steamed black rice (40)
현미밥,Steamed brown rice
현미밥(30),Steamed brown rice (30)
현미밥(40),Steamed brown rice (40)
현미찹쌀밥(30),Steamed brown sweet  rice (30)
현미찹쌀밥,Steamed brown sweet rice
현미찹쌀밥(40),Steamed brown sweet rice (40)
양배추찜,Steamed cabbage
양배추찜+쌈장,Steamed cabbage + soy red chilli paste
브로콜리양배추찜,Steamed cabbage with broccoli
양배추숙쌈+쌈장,Steamed cabbage wraps + soy red chilli paste
찐당근스틱,Steamed carrot stick
밤콩밥,Steamed chestnut bean rice
밤콩밥(30),Steamed chestnut bean rice (30)
밤콩밥(40),Steamed chestnut bean rice (40)
밤찹쌀팥밥,Steamed chestnut red bean sweet rice
밤찹쌀팥밥(30),Steamed chestnut red bean sweet rice (30)
밤찹쌀팥밥(40),Steamed chestnut red bean sweet rice (40)
밤밥,Steamed chestnut rice
밤밥(30),Steamed chestnut rice (30)
밤밥(40),Steamed chestnut rice (40)
닭찜,Steamed chicken with vegetables
찜닭,Steamed chicken
닭살콩나물찜,Steamed chicken and bean sprouts
고구마찜닭,Steamed chicken and sweet potato
단호박찜닭,Steamed chicken and sweet pumpkin
닭애호박찜,Steamed chicken and zucchini
닭다리살콩가루부추찜,Steamed chicken drumstick with chive and bean powder
닭다리카레찜,Steamed chicken drumsticks in curry
닭살카레찜,Steamed chicken in curry
간장찜닭,Steamed chicken in soy sauce
닭안심애호박찜,Steamed chicken tenderloin and zucchini
닭날개북어찜,Steamed chicken wings and pollack
콩가루부추찜,Steamed chive with bean powder
꼬막찜,Steamed cockle
대구양념찜,Steamed cod in marinade sauce
찐옥수수,Steamed corn
옥수수밥,Steamed corn rice
옥수수밥(30),Steamed corn rice (30)
옥수수밥(40),Steamed corn rice (40)
조기찜,Steamed corvina
오징어찜,Steamed cuttlefish
단호박오징어찜,Steamed cuttlefish and sweet pumpkin
북어채소찜,Steamed dried pollack veggie
찐달걀,Steamed eggs
달걀찜(30g),Steamed eggs (30g)
달걀찜(40g),Steamed eggs (40g)
아몬드달걀찜,Steamed eggs with almond
베이컨달걀찜,Steamed eggs with bacon
브로콜리달걀찜,Steamed eggs with broccoli
치즈달걀찜,Steamed eggs with cheese
옥수수달걀찜,Steamed eggs with corn
콘달걀찜,Steamed eggs with corn(canned)
매생이달걀찜,Steamed eggs with maesaengyi
달걀우유찜,Steamed eggs with milk
우유달걀찜,Steamed eggs with milk and vegetables
명란달걀찜,Steamed eggs with salted pollack roe
새우살달걀찜,Steamed eggs with shrimp
새우살채소달걀찜,Steamed eggs with shrimp and vegetables
맛살달걀찜,Steamed eggs with soft crab
시금치달걀찜,Steamed eggs with spinach
단호박달걀찜,Steamed eggs with sweet pumpkin
삼색채소달걀찜,Steamed eggs with three-color vegetables
채소달걀찜,Steamed eggs with vegetables
미나리달걀찜,Steamed eggs with winter celery
애호박생선살찜,Steamed fish and zucchini
순살가자미찜,Steamed halibut
가자미양념찜,Steamed halibut in marinade sauce
고등어찜,Steamed mackerel
찐만두,Steamed mandu (dumpling)
기장밥,Steamed millet rice
수수밥,Steamed Sorghum rice
기장밥(30),Steamed millet rice (30)
수수밥(30),Steamed Sorghum rice (30)
기장밥(40),Steamed millet rice (40)
수수밥(40),Steamed Sorghum rice (40)
잡곡밥,Steamed mixed-grain rice
잡곡밥(30),Steamed mixed-grain rice (30)
잡곡밥(40),Steamed mixed-grain rice (40)
완두콩밥,Steamed mung bean rice
완두콩밥(30),Steamed mung bean rice (30)
완두콩밥(40),Steamed mung bean rice (40)
낙지해물찜,Steamed octopus and seafood
낙지떡찜,Steamed octopus with rice cake
율무밥,Steamed pearl barley rice
율무밥(30),Steamed pearl barley rice (30)
율무밥(40),Steamed pearl barley rice (40)
깻잎찜,Steamed perilla leaf
깻잎멸치찜,Steamed perilla leaf and anchovy
동태찜,Steamed frozen pollack
북어찜,Steamed dried pollack
코다리찜,Steamed semi dried pollack
코다리양념찜,Steamed pollack in marinade sauce
돼지고기찜,Steamed pork
돼지고기콩나물찜,Steamed pork and bean sprout
돼지고기단호박찜,Steamed pork and sweet pumpkin
삼겹단호박찜,Steamed pork belly and sweet pumpkin
돼지갈비찜,Steamed pork rib
감자돼지갈비찜,Steamed pork rib and potato
돼지갈비고구마찜,Steamed pork rib and sweet potato
돼지고기사태찜,Steamed pork shank
단호박사태찜,Steamed pork shank and sweet pumpkin
돼지고기수육,Steamed pork slices
묵은지김치찜,Steamed pork with ripe kimchi
찐감자,Steamed potato
감자밥,Steamed potato rice
감자밥(30),Steamed potato rice (30)
감자밥(40),Steamed potato rice (40)
팥밥,Steamed red bean rice
팥밥(30),Steamed red bean rice (30)
팥밥(40),Steamed red bean rice (40)
찹쌀팥밥,Steamed sweet rice and red bean
팥찹쌀밥,Steamed red bean sweet rice
찹쌀팥밥(30),Steamed sweet rice and red bean (30)
팥찹쌀밥(30),Steamed red bean sweet rice (30)
찹쌀팥밥(40),Steamed sweet rice and red bean (40)
팥찹쌀밥(40),Steamed red bean sweet rice (40)
쌀밥,Steamed rice
쌀밥(30),Steamed rice (30)
콩나물밥,Steamed rice with bean sprout
콩나물밥+양념장,Steamed rice with bean sprout + marinade sauce
콩나물무밥,Steamed rice with bean sprout and daikon
콩나물무밥+양념장,Steamed rice with bean sprout and daikon + marinade sauce
검정콩밥,Steamed rice with black beans
검정콩밥(30),Steamed rice with black beans (30)
검정콩밥(40),Steamed rice with black beans (40)
짜장밥,Steamed rice with black soy
삼선짜장밥,Steamed rice with black soy seafood
두부짜장밥,Steamed rice with black soy tofu
양배추밥+양념장,Steamed rice with cabbage + marinade sauce
취나물밥+양념장,Steamed rice with chwinamul + marinade sauce
마파두부밥,Steamed rice with mapa tofu
표고버섯콩나물밥,Steamed rice with pyogo mushroom and bean sprout
미역국밥,Steamed rice with seaweed soup
곤드레나물밥+양념장,Steamed rice with thistle + marinade sauce
곤드레콩나물밥+양념장,Steamed rice with thistle and bean sprout + marinade sauce
곤드레무밥+양념장,Steamed rice with thistle and daikon + marinade sauce
해물찜,Steamed seafood
단호박해물찜,Steamed seafood and sweet pumpkin
간장해물찜,Steamed seafood in soy sauce
새우미더덕찜,Steamed shrimp and styela
삼치무찜,Steamed spanish mackerel and daikon
삼치양념찜,Steamed spanish mackerel in marinade sauce
찹쌀보리밥,Steamed sweet barley rice
찹쌀보리밥(30),Steamed sweet barley rice (30)
찹쌀보리밥(40),Steamed sweet barley rice (40)
찰현미밥,Steamed sweet brown rice
찹쌀현미밥,Steamed sweet rice and brown rice
찰현미밥(30),Steamed sweet brown rice (30)
찹쌀현미밥(30),Steamed sweet rice and brown rice (30)
찰현미밥(40),Steamed sweet brown rice (40)
찹쌀현미밥(40),Steamed sweet rice and brown rice (40)
차조밥,Steamed sweet millet rice
차조밥(30),Steamed sweet millet rice (30)
차조밥(40),Steamed sweet millet rice (40)
단배추시래기찜,Steamed sweet napa cabbage and dried radish leaves
찐고구마,Steamed sweet potato
고구마밥,Steamed sweet potato rice
고구마밥(30),Steamed sweet potato rice (30)
고구마밥(40),Steamed sweet potato rice (40)
고구마표고버섯밥,Steamed sweet potato rice with pyogo mushroom
단호박찜,Steamed sweet pumpkin
찐단호박,Boiled sweet pumpkin
훈제오리단호박찜,Steamed sweet pumpkin and roasted smoked duck
단호박우유찜,Steamed sweet pumpkin with milk
단호박견과류찜,Steamed sweet pumpkin with nuts
찹쌀밥,Steamed sweet rice
찹쌀밥(30),Steamed sweet rice (30)
찹쌀밥(추가),Steamed sweet rice (add)
두부찜,Steamed tofu
온두부찜,Boiled tofu
두부찜+흑임자소스,Steamed tofu + black sesame sauce
온두부+양념장,Steamed tofu + marinade sauce
두부찜+김치볶음,Steamed tofu + stir-fried kimchi
두부달걀찜,Steamed tofu and eggs
미나리장떡,Steamed winter celery with rice cake in red chilli paste
멸치볶음,Stir-fried anchovy
멸치아몬드볶음,Stir-fried anchovy and almond
멸치꽈리볶음,Stir-fried anchovy and chilli pepper
김부각멸치볶음,Stir-fried anchovy and deep-fried seaweed
편마늘멸치볶음,Stir-fried anchovy and garlic flakes
견과류멸치볶음,Stir-fried anchovy and nuts
멸치파프리카볶음,Stir-fried anchovy and paprika
